| No  | Kalimat Asli                                                                                                                                                               | Pertanyaan                                        | Pilihan Jawaban                                                   | Jawaban | Terjemahan Indonesia                                                                                                                                                                                          | Pertanyaan                                       | Pilihan Jawaban                                                   | Jawaban |
| 142 | We went to the lake, because a shark had been seen at the ocean beach, so it was a dangerous place to swim.                                                                | Snippet: it was a dangerous place                 | A. The lake; B. The ocean beach                                   | B       | Kami pergi ke danau, karena hiu telah terlihat di pantai laut, itu tempat yang lebih berbahaya untuk berenang.                                                                                                | itu tempat yang lebih berbahaya                  | A. Danau; B. Pantai                                               | B       |
| 143 | Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like golfers.                                                                         | Snippet: they ended up looking more like golfers. | A. The shepherds; B. The sheep                                    | A       | Sam mencoba melukis gambar gembala dengan domba, tetapi mereka akhirnya lebih terlihat seperti pegolf.                                                                                                        | mereka akhirnya lebih terlihat seperti pegolf    | A. Gembala; B. Domba                                              | A       |
| 144 | Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like sheep.                                                                           | Snippet: they ended up looking more like dogs.    | A. The shepherds; B. The sheep                                    | B       | Sam mencoba melukis gambar gembala dengan domba, tetapi mereka akhirnya lebih terlihat seperti anjing.                                                                                                        | mereka akhirnya lebih terlihat seperti anjing    | A. Gembala; B. Domba                                              | B       |
| 145 | Mary tucked her daughter Anne into bed, so that she could work.                                                                                                            | Snippet: she could work                           | A. Mary; B. Mary's daughter                                       | A       | Mary menidurkan putrinya, Anne, agar dia bisa bekerja.                                                                                                                                                        | dia bisa bekerja                                 | A. Mary; B. Putri dari Mary                                       | A       |
| 146 | Mary tucked her daughter Anne into bed, so that she could sleep.                                                                                                           | Snippet: she could work                           | A. Mary; B. Mary's daughter                                       | B       | Mary menidurkan putrinya, Anne, agar dia bisa tidur.                                                                                                                                                          | dia bisa tidur                                   | A. Mary; B. Putri dari Mary                                       | B       |
| 147 | Fred and Alice had very warm down coats, but they were not prepared for the cold in Alaska.                                                                                | Snippet: they were not prepared                   | A. Fred and Alice; B. coats                                       | A       | Fred dan Alice memiliki mantel bulu yang sangat hangat, tetapi mereka tidak siap menghadapi dinginnya Alaska.                                                                                                 | mereka tidak siap                                | A. Fred and Alice; B. mantel                                      | A       |
| 148 | Fred and Alice had very warm down coats, but they were not enough for the cold in Alaska.                                                                                  | Snippet: they were not enough                     | A. Fred and Alice; B. coats                                       | B       | Fred dan Alice memiliki mantel bulu yang sangat hangat, tetapi mereka tidak cukup menghadapi dinginnya Alaska.                                                                                                | mereka tidak cukup                               | A. Fred and Alice; B. mantel                                      | B       |
| 149 | Thomson visited Cooper's grave in 1765. At that date he had been traveling for five years.                                                                                 | Snippet: he had been traveling                    | A. Thomson; B. Cooper                                             | A       | Thomson mengunjungi makam Cooper pada tahun 1765. Pada tanggal itu dia telah bepergian selama lima tahun.                                                                                                     | dia telah bepergian                              | A. Thomson; B. Cooper                                             | A       |
| 150 | Thomson visited Cooper's grave in 1765. At that date he had been dead for five years.                                                                                      | Snippet: he had been dead                         | A. Thomson; B. Cooper                                             | B       | Thomson mengunjungi makam Cooper pada tahun 1765. Pada tanggal itu dia telah meninggal selama lima tahun.                                                                                                     | dia telah meninggal                              | A. Thomson; B. Cooper                                             | B       |
| 151 | Jackson was greatly influenced by Arnold, though he lived two centuries later.                                                                                             | Snippet: he lived two centuries later.            | A. Jackson; B. Arnold                                             | A       | Jackson sangat dipengaruhi oleh Arnold, meskipun dia hidup dua abad kemudian.                                                                                                                                 | dia hidup dua abad kemudian                      | A. Jackson; B. Arnold                                             | A       |
| 152 | Jackson was greatly influenced by Arnold, though he lived two centuries earliear.                                                                                          | Snippet: he lived two centuries earlier.          | A. Jackson; B. Arnold                                             | B       | Jackson sangat dipengaruhi oleh Arnold, meskipun dia hidup dua abad sebelumnya.                                                                                                                               | dia hidup dua abad sebelumnya                    | A. Jackson; B. Arnold                                             | B       |
| 153 | I can't cut that tree down with that axe; it is too thick.                                                                                                                 | Snippet: it is too thick.                         | A. The tree; B. The axe                                           | A       | Saya tidak bisa menebang pohon itu dengan kapak itu; itu terlalu tebal.                                                                                                                                       | itu terlalu tebal                                | A. Pohon; B. Kapak                                                | A       |
| 154 | I can't cut that tree down with that axe; it is too small.                                                                                                                 | Snippet: it is too small.                         | A. The tree; B. The axe                                           | B       | Saya tidak bisa menebang pohon itu dengan kapak itu; itu terlalu kecil.                                                                                                                                       | itu terlalu kecil                                | A. Pohon; B. Kapak                                                | B       |
| 155 | The foxes are getting in at night and attacking the chickens. I shall have to kill them.                                                                                   | Snippet: to kill them                             | A. The foxes; B. The chickens                                     | A       | Rubah masuk di malam hari dan menyerang ayam. Aku harus membunuh mereka.                                                                                                                                      | membunuh mereka                                  | A. Rubah; B. Ayam                                                 | A       |
| 156 | The foxes are getting in at night and attacking the chickens. I shall have to guard them.                                                                                  | Snippet: to guard them                            | A. The foxes; B. The chickens                                     | B       | Rubah masuk di malam hari dan menyerang ayam. Aku harus menjaga mereka.                                                                                                                                       | menjaga mereka                                   | A. Rubah; B. Ayam                                                 | B       |
| 157 | The foxes are getting in at night and attacking the chickens. They have gotten very bold.                                                                                  | Snippet: They have gotten very bold.              | A. The foxes; B. The chickens                                     | A       | Rubah masuk di malam hari dan menyerang ayam. Mereka menjadi sangat berani.                                                                                                                                   | Mereka menjadi sangat berani                     | A. Rubah; B. Ayam                                                 | A       |
| 158 | The foxes are getting in at night and attacking the chickens. They have gotten very nervous.                                                                               | Snippet: They have gotten very nervous.           | A. The foxes; B. The chickens                                     | B       | Rubah masuk di malam hari dan menyerang ayam. Mereka menjadi sangat takut.                                                                                                                                    | Mereka menjadi sangat takut                      | A. Rubah; B. Ayam                                                 | B       |
| 159 | Fred covered his eyes with his hands, because the wind was blowing sand around. He opened them when the wind stopped.                                                      | Snippet: opened them                              | A. His eyes; B. His hands                                         | A       | Fred menutupi matanya dengan tangannya, karena angin meniup pasir ke mana-mana. Dia membukanya saat angin berhenti.                                                                                           | membukanya                                       | A. Matanya; B. Tangannya                                          | A       |
| 160 | Fred covered his eyes with his hands, because the wind was blowing sand around. He lowered them when the wind stopped.                                                     | Snippet: lowered them                             | A. His eyes; B. His hands                                         | B       | Fred menutupi matanya dengan tangannya, karena angin meniup pasir ke mana-mana. Dia menurunkannya saat angin berhenti.                                                                                        | menurunkannya                                    | A. Matanya; B. Tangannya                                          | B       |
| 161 | The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was too hard to pronounce.                                    | Snippet: it was too hard                          | A. Terpsichore; B. Tina                                           | A       | Aktris ini dulunya bernama Terpsichore, tetapi dia mengubahnya menjadi Tina beberapa tahun yang lalu, karena menurutnya nama itu terlalu sulit untuk diucapkan.                                               | itu terlalu sulit                                | A. Terpsichore; B. Tina                                           | A       |
| 162 | The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was easier to pronounce.                                      | Snippet: it was easier                            | A. Terpsichore; B. Tina                                           | B       | Aktris ini dulunya bernama Terpsichore, tetapi dia mengubahnya menjadi Tina beberapa tahun yang lalu, karena menurutnya nama itu lebih mudah untuk diucapkan.                                                 | itu lebih mudah                                  | A. Terpsichore; B. Tina                                           | B       |
| 163 | Fred watched TV while George went out to buy groceries. After an hour he got up.                                                                                           | Snippet: he got up.                               | A. Fred; B. George                                                | A       | Fred menonton TV sementara George keluar membeli bahan makanan. Setelah satu jam dia bangun.                                                                                                                  | dia bangun                                       | A. Fred; B. George                                                | A       |
| 164 | Fred watched TV while George went out to buy groceries. After an hour he got back.                                                                                         | Snippet: he got back.                             | A. Fred; B. George                                                | B       | Fred menonton TV sementara George keluar membeli bahan makanan. Setelah satu jam dia kembali.                                                                                                                 | dia kembali                                      | A. Fred; B. George                                                | B       |
| 165 | Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it on.  | Snippet: turned it on                             | A. The dishwasher; B. The TV                                      | A       | Fred seharusnya menjalankan mesin pencuci piring, tapi dia menundanya, karena dia ingin menonton TV. Tapi acaranya ternyata membosankan, jadi dia berubah pikiran dan menyalakannya.                          | menyalakannya                                    | A. Mesin pencuci; B. TV                                           | A       |
| 166 | Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it off. | Snippet: turned it off                            | A. The dishwasher; B. The TV                                      | B       | Fred seharusnya menjalankan mesin pencuci piring, tapi dia menundanya, karena dia ingin menonton TV. Tapi acaranya ternyata membosankan, jadi dia berubah pikiran dan mematikannya.                           | mematikannya                                     | A. Mesin pencuci; B. TV                                           | B       |
| 167 | Fred is the only man still alive who remembers my great-grandfather. He is a remarkable man.                                                                               | Snippet: He is a remarkable man.                  | A. Fred; B. My Great-GrandFather                                  | A       | Fred adalah satu-satunya pria yang masih hidup yang mengingat kakek buyutku. Dia adalah pria yang luar biasa.                                                                                                 | Dia adalah pria yang luar biasa                  | A. Fred; B. Kakek buyutku                                         | A       |
| 168 | Fred is the only man still alive who remembers my great-grandfather. He was a remarkable man.                                                                              | Snippet: He was a remarkable man.                 | A. Fred; B. My Great-GrandFather                                  | B       | Fred adalah satu-satunya pria yang masih hidup yang mengingat kakek buyutku. Dia dulu pria yang luar biasa.                                                                                                   | Dia dulu pria yang luar biasa                    | A. Fred; B. Kakek buyutku                                         | B       |
| 169 | Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.                                             | Snippet: he was twelve years old.                 | A. Fred; B. My Father                                             | A       | Fred adalah satu-satunya lelaki hidup yang masih mengingat ayahku saat masih bayi. Ketika Fred pertama kali melihat ayah saya, dia berumur dua belas tahun.                                                   | dia berumur dua belas tahun                      | A. Fred; B. Ayahku                                                | A       |
| 170 | Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve months old.                                            | Snippet: he was twelve months old.                | A. Fred; B. My Father                                             | B       | Fred adalah satu-satunya lelaki hidup yang masih mengingat ayahku saat masih bayi. Ketika Fred pertama kali melihat ayah saya, dia berumur dua belas belas.                                                   | dia berumur dua belas bulan                      | A. Fred; B. Ayahku                                                | B       |
| 171 | In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were defeated within weeks.                          | Snippet: they were defeated                       | A. Kamtchatkan; B. Yakutsk                                        | A       | Pada bulan Juli, Kamchatka menyatakan perang terhadap Yakutsk. Karena pasukan Yakutsk memiliki perlengkapan yang jauh lebih baik dan sepuluh kali lebih besar, mereka dikalahkan dalam waktu beberapa minggu. | mereka dikalahkan                                | A. Kamtchatkan; B. Yakutsk                                        | A       |
| 172 | In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were victorious within weeks.                        | Snippet: they were victorious                     | A. Kamtchatkan; B. Yakutsk                                        | B       | Pada bulan Juli, Kamchatka menyatakan perang terhadap Yakutsk. Karena pasukan Yakutsk memiliki perlengkapan yang jauh lebih baik dan sepuluh kali lebih besar, mereka menang dalam waktu beberapa minggu.     | mereka menang                                    | A. Kamtchatkan; B. Yakutsk                                        | B       |
| 173 | Look! There is a minnow swimming right below that duck! It had better get away to safety fast!                                                                             | Snippet: It had better get away                   | A. The minnow; B. The duck                                        | A       | Lihat! Ada ikan kecil yang berenang tepat di bawah bebek itu! Lebih baik mereka segera pergi ke tempat yang aman!                                                                                             | Lebih baik mereka segera pergi                   | A. Ikan kecil; B. Hiu                                             | A       |
| 174 | Look! There is a shark swimming right below that duck! It had better get away to safety fast!                                                                              | Snippet: It had better get away                   | A. The minnow; B. The duck                                        | B       | Lihat! Ada hiu yang berenang tepat di bawah bebek itu! Lebih baik mereka segera pergi ke tempat yang aman!                                                                                                    | Lebih baik mereka segera pergi                   | A. Ikan kecil; B. Hiu                                             | B       |
| 175 | Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for evidence on the river banks.                                                   | Snippet: They hunted for evidence                 | A. Archaeologists; B. Prehistoric humans                          | A       | Para arkeolog menyimpulkan bahwa manusia hidup di Laputa 20.000 tahun yang lalu. Mereka memburu barang bukti di tepian sungai.                                                                                | Mereka memburu barang bukti                      | A. Arkeologis; B. Manusia purba                                   | A       |
| 176 | Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.                                                       | Snippet: They hunted for deer                     | A. Archaeologists; B. Prehistoric humans                          | B       | Para arkeolog menyimpulkan bahwa manusia hidup di Laputa 20.000 tahun yang lalu. Mereka memburu rusa di tepian sungai.                                                                                        | Mereka memburu rusa                              | A. Arkeologis; B. Manusia purba                                   | B       |
| 177 | The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They began two years ago.                                      | Snippet: They began two years ago.                | A. The scientist; B. The fish                                     | A       | Para ilmuwan sedang mempelajari tiga spesies ikan yang baru-baru ini ditemukan hidup di Samudera Hindia. Mereka memulainya dua tahun lalu.                                                                    | Mereka memulainya dua tahun lalu                 | A. Peneliti; B. Ikan                                              | A       |
| 178 | The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They appeared two years ago.                                   | Snippet: They appeared two years ago.             | A. The scientist; B. The fish                                     | B       | Para ilmuwan sedang mempelajari tiga spesies ikan yang baru-baru ini ditemukan hidup di Samudera Hindia. Mereka muncul dua tahun lalu.                                                                        | Mereka muncul dua tahun lalu                     | A. Peneliti; B. Ikan                                              | B       |
| 179 | The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a long time.                                                | Snippet: They were very persistent                | A. The journalists; B. The stars                                  | A       | Para jurnalis mewawancarai sang bintang film baru tersebut. Mereka sangat gigih, sehingga wawancara berlangsung lama.                                                                                         | Mereka sangat gigih                              | A. Jurnalis; B. Sang bintang                                      | A       |
| 180 | The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time.                                               | Snippet: They were very cooperative               | A. The journalists; B. The stars                                  | B       | Para jurnalis mewawancarai sang bintang film baru tersebut. Mereka sangat koperatif, sehingga wawancara berlangsung lama.                                                                                     | Mereka sangat koperatif                          | A. Jurnalis; B. Sang bintang                                      | B       |
| 181 | The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.                                                                  | Snippet: They were trying to stop the drug trade. | A. The police; B. The gang members                                | A       | Polisi menangkap seluruh anggota geng tersebut. Mereka berusaha menghentikan perdagangan narkoba di lingkungan tersebut.                                                                                      | Mereka berusaha menghentikan perdagangan narkoba | A. Polisi; B. Anggota geng                                        | A       |
| 182 | The police arrested all of the gang members. They were trying to run the drug trade in the neighborhood.                                                                   | Snippet: They were trying to run the drug trade.  | A. The police; B. The gang members                                | B       | Polisi menangkap seluruh anggota geng tersebut. Mereka berusaha menjalankan perdagangan narkoba di lingkungan tersebut.                                                                                       | Mereka berusaha menjalankan perdagangan narkoba  | A. Polisi; B. Anggota geng                                        | B       |
| 183 | I put the cake away in the refrigerator. It has a lot of butter in it.                                                                                                     | Snippet: It has a lot of butter                   | A. The cake; B. The refigerator                                   | A       | Saya menyimpan kue itu di lemari es. Ada banyak mentega di dalamnya.                                                                                                                                          | Ada banyak mentega di dalamnya                   | A. Kue; B. Kulkas                                                 | A       |
| 184 | I put the cake away in the refrigerator. It has a lot of leftovers in it.                                                                                                  | Snippet: It has a lot of leftovers                | A. The cake; B. The refigerator                                   | B       | Saya menyimpan kue itu di lemari es. Ada banyak sisa di dalamnya.                                                                                                                                             | Ada banyak sisa di dalamnya                      | A. Kue; B. Kulkas                                                 | B       |
| 185 | Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.                                                                | Snippet: they should be better                    | A. The ankles; B. The crutches                                    | A       | Kedua pergelangan kaki Sam patah dan dia berjalan dengan tongkat. Tapi sekitar satu bulan dari sekarang, hal itu seharusnya sudah lebih baik.                                                                 | itu seharusnya sudah lebih baik.                 | A. Pergelangan kaki; B. Tongkat                                   | A       |
| 186 | Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be unnecessary.                                                           | Snippet: they should be unnecessary               | A. The ankles; B. The crutches                                    | B       | Kedua pergelangan kaki Sam patah dan dia berjalan dengan tongkat. Tapi sekitar satu bulan dari sekarang, hal itu seharusnya tidak diperlukan lagi.                                                            | itu seharusnya tidak diperlukan lagi.            | A. Pergelangan kaki; B. Tongkat                                   | B       |
| 187 | When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the minority.                  | Snippet: They were very much in the minority.     | A. The sponsors; B. The opponents                                 | A       | Ketika para sponsor RUU tersebut sampai di balai kota, mereka terkejut karena ruangan itu penuh dengan penentang. Mereka termasuk minoritas.                                                                  | Mereka termasuk minoritas                        | A. Sponsor; B. Penantang                                          | A       |
| 188 | When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the majority.                  | Snippet: They were very much in the majority.     | A. The sponsors; B. The opponents                                 | B       | Ketika para sponsor RUU tersebut sampai di balai kota, mereka terkejut karena ruangan itu penuh dengan penentang. Mereka termasuk mayoritas.                                                                  | Mereka termasuk mayoritas                        | A. Sponsor; B. Penantang                                          | B       |
| 189 | Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make more of them.                                     | Snippet: more of them                             | A. The oatmeal cookies; B. The chocolate chip cookies             | A       | Semua orang sangat menyukai kue oatmeal; hanya sedikit orang yang menyukai kue keping coklat. Lain kali, kita harus membuatnya lebih banyak.                                                                  | membuatnya lebih banyak                          | A. Kue oatmeal; B. Kue keping coklat                              | A       |
| 190 | Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make few of them.                                      | Snippet: few of them                              | A. The oatmeal cookies; B. The chocolate chip cookies             | B       | Semua orang sangat menyukai kue oatmeal; hanya sedikit orang yang menyukai kue keping coklat. Lain kali, kita harus membuatnya lebih banyak.                                                                  | membuatnya lebih sedikit                         | A. Kue oatmeal; B. Kue keping coklat                              | B       |
| 191 | We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.                                              | Snippet: not enough of them                       | A. copies of the newsletter; B. chairs                            | A       | Kami berharap untuk menempatkan salinan buletin kami di semua kursi di auditorium, namun jumlahnya tidak cukup.                                                                                               | jumlahnya tidak cukup                            | A. Salinan buletin; B. Kursi                                      | A       |
| 192 | We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.                                                | Snippet: too many of them<br>                     | A. copies of the newsletter; B. chairs                            | B       | Kami berharap untuk menempatkan salinan buletin kami di semua kursi di auditorium, namun jumlahnya terlalu banyak.                                                                                            | jumlahnya terlalu banyak                         | A. Salinan buletin; B. Kursi                                      | B       |
| 193 | I stuck a pin through a carrot. When I pulled the pin out, it left a hole.                                                                                                 | Snippet: it left a hole                           | A. The pin; B. The carrot                                         | A       | Saya menusukkan pin ke wortel. Saat saya mencabut pinnya, itu meninggalkan lubang.                                                                                                                            | itu meninggalkan lubang                          | A. Pin; B. Wortel                                                 | A       |
| 194 | I stuck a pin through a carrot. When I pulled the pin out, it had a hole.                                                                                                  | Snippet: it had a hole                            | A. The pin; B. The carrot                                         | B       | Saya menusukkan pin ke wortel. Saat saya mencabut pinnya, ada lubangnya.                                                                                                                                      | ada lubangnya                                    | A. Pin; B. Wortel                                                 | B       |
| 195 | I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of coffee.                                    | Snippet: it got full of coffee.                   | A. The pen; B. The Coffee                                         | A       | Saya tidak dapat menemukan sendok, jadi saya mencoba menggunakan pena untuk mengaduk kopi saya. Tapi ternyata itu ide yang buruk, karena itu penuh dengan kopi.                                               | karena itu penuh dengan kopi                     | A. Pulpen; B. Kopi                                                | A       |
| 196 | I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of ink.                                       | Snippet: it got full of ink.                      | A. The pen; B. The Coffee                                         | B       | Saya tidak dapat menemukan sendok, jadi saya mencoba menggunakan pena untuk mengaduk kopi saya. Tapi ternyata itu ide yang buruk, karena titu penuh dengan tinta.                                             | karena itu penuh dengan tinta                    | A. Pulpen; B. Kopi                                                | B       |
| 197 | Steve follows Fred's example in everything. He admires him hugely.                                                                                                         | Snippet: He admires him hugely.                   | A. Steve; B. Fred                                                 | A       | Steve mengikuti teladan Fred dalam segala hal. Dia sangat mengaguminya.                                                                                                                                       | dia sangat mengaguminya                          | A. Steve; B. Fred                                                 | A       |
| 198 | Steve follows Fred's example in everything. He influences him hugely.                                                                                                      | Snippet: He influences him hugely.                | A. Steve; B. Fred                                                 | B       | Steve mengikuti teladan Fred dalam segala hal. Dia sangat menginspirasinya.                                                                                                                                   | dia sangat menginspirasinya                      | A. Steve; B. Fred                                                 | B       |
| 199 | The table won't fit through the doorway because it is too wide.                                                                                                            | Snippet: it is too wide.                          | A. The table; B. The doorway                                      | A       | Meja tidak muat melewati ambang pintu karena itu terlalu lebar.                                                                                                                                               | itu terlalu lebar                                | A. Meja; B. Pintu                                                 | A       |
| 200 | The table won't fit through the doorway because it is too narrow.                                                                                                          | Snippet: it is too narrow.                        | A. The table; B. The doorway                                      | B       | Meja tidak muat melewati ambang pintu karena itu terlalu sempit.                                                                                                                                              | itu terlalu sempit                               | A. Meja; B. Pintu                                                 | B       |
| 201 | Grace was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.                                                                                   | Snippet: it looks dowdy on her.                   | A. The sweater; B. The jacket                                     | A       | Grace dengan senang hati menukarkan sweternya dengan jaketku. Menurutnya itu terlihat jelek baginya.                                                                                                          | itu terlihat jelek baginya                       | A. Sweter; B. Jaket                                               | A       |
| 202 | Grace was happy to trade me her sweater for my jacket. She thinks it looks great on her.                                                                                   | Snippet: it looks great on her.                   | A. The sweater; B. The jacket                                     | B       | Grace dengan senang hati menukarkan sweternya dengan jaketku. Menurutnya itu terlihat bagus baginya.                                                                                                          | itu terlihat bagus baginya                       | A. Sweter; B. Jaket                                               | B       |
| 203 | John hired Bill to take care of him.                                                                                                                                       | Snippet: take care of him                         | A. John; B. Bill                                                  | A       | John mempekerjakan Bill untuk merawatnya.                                                                                                                                                                     | untuk merawatnya                                 | A. John; B. Bill                                                  | A       |
| 204 | John hired himself out to Bill to take care of him.                                                                                                                        | Snippet: take care of him                         | A. John; B. Bill                                                  | B       | John mempekerjakan dirinya sendiri kepada Bill untuk merawatnya.                                                                                                                                              | untuk merawatnya                                 | A. John; B. Bill                                                  | B       |
| 205 | John promised Bill to leave, so an hour later he left.                                                                                                                     | Snippet: he left                                  | A. John; B. Bill                                                  | A       | John berjanji pada Bill untuk pergi, jadi satu jam kemudian dia pergi.                                                                                                                                        | dia pergi                                        | A. John; B. Bill                                                  | A       |
| 206 | John ordered Bill to leave, so an hour later he left.                                                                                                                      | Snippet: he left                                  | A. John; B. Bill                                                  | B       | John menyuruh Bill untuk pergi, jadi satu jam kemudian dia pergi.                                                                                                                                             | dia pergi                                        | A. John; B. Bill                                                  | B       |
| 207 | Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his research.                                              | Snippet: difficulties he faced                    | A. Goodman; B. Xenophanes                                         | A       | Biografi Sam Goodman tentang jenderal Spartan Xenophanes menyampaikan gambaran yang jelas tentang kesulitan yang dia hadapi dalam penelitiannya.                                                              | kesulitan yang dia hadapi                        | A. Goodman; B. Xenophanes                                         | A       |
| 208 | Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his childhood.                                             | Snippet: difficulties he faced                    | A. Goodman; B. Xenophanes                                         | B       | Biografi Sam Goodman tentang jenderal Spartan Xenophanes menyampaikan gambaran yang jelas tentang kesulitan yang dia hadapi dalam masa kecilnya.                                                              | kesulitan yang dia hadapi                        | A. Goodman; B. Xenophanes                                         | B       |
| 209 | Emma's mother had died long ago, and her education had been managed by an excellent woman as governess.                                                                    | Snippet: her education                            | A. Emma; B. Emma's mother                                         | A       | Ibu Emma sudah lama meninggal, dan pendidikannya dikelola oleh seorang wanita yang sangat baik sebagai pengasuh.                                                                                              | pendidikannya                                    | A. Emma; B. Ibu Emma                                              | A       |
| 210 | Emma's mother had died long ago, and her place had been managed by an excellent woman as governess.                                                                        | Snippet: her place                                | A. Emma; B. Emma's mother                                         | B       | Ibu Emma sudah lama meninggal, dan tempatnya dikelola oleh seorang wanita yang sangat baik sebagai pengasuh.                                                                                                  | tempatnya                                        | A. Emma; B. Ibu Emma                                              | B       |
| 211 | Jane knocked on Susan's door but she did not get an answer.                                                                                                                | Snippet: she did not get an answer.               | A. Jane; B. Susan                                                 | A       | Jane mengetuk pintu Susan tetapi dia tidak mendapat jawaban.                                                                                                                                                  | dia tidak mendapat jawaban                       | A. Jane; B. Susan                                                 | A       |
